plot_key,district,habitation,field_type,loreys_h_m,crown_cover_pct,n_trees,n_species,sal_ba_frac
20.805056_84.651723,ANGUL,JOGI BANDHA,4,12.194148149749262,58.0,4,4,0.0
20.805103_84.650732,ANGUL,JOGI BANDHA,4,11.677670366663635,88.0,2,2,0.0
20.805368_84.649812,ANGUL,JOGI BANDHA,2,0.2171396648044692,8.0,0,0,0.0
20.806103_84.651004,ANGUL,JOGI BANDHA,4,10.674902801077728,43.0,5,5,0.2495551827563418
20.825695_84.645693,ANGUL,ANANDA PUR,4,10.366624233851956,68.0,1,1,0.0
20.825723_84.645635,ANGUL,ANANDA PUR,4,6.733686916138077,33.0,3,3,0.0
20.825966_84.644815,ANGUL,ANANDA PUR,4,11.961087088125916,63.0,7,5,0.0
20.826051_84.646594,ANGUL,ANANDA PUR,1,13.974001978835068,88.0,3,3,0.0
20.827024_84.643543,ANGUL,ANANDA PUR,4,9.782364998586374,78.0,2,2,0.0
20.827087_84.646448,ANGUL,ANANDA PUR,2,1.07,98.0,0,0,0.0
20.827346_84.642134,ANGUL,ANANDA PUR,4,13.446413233749569,48.0,5,5,0.0
20.828018_84.64283,ANGUL,ANANDA PUR,1,18.64528892826874,58.0,5,5,0.3260651822174281
20.828198_84.64423,ANGUL,ANANDA PUR,4,11.355777023929589,88.0,4,4,0.0
20.926499_85.652478,DHENKANAL,TULASIPASI,1,42.53505008281411,23.0,4,2,0.6092751794305546
20.926894_85.66691,DHENKANAL,TULASIPASI,4,9.30209523809524,8.0,4,3,0.0
20.927937_85.652632,DHENKANAL,TULASIPASI,4,4.259697956766362,23.0,6,2,0.6416938110749187
20.931564_85.663294,DHENKANAL,TULASIPASI,4,12.089761939535562,23.0,5,2,0.9429433815296236
20.931593_85.663369,DHENKANAL,TULASIPASI,4,14.844234659474036,33.0,10,7,0.1362103843560351
20.934691_85.665477,DHENKANAL,TULASIPASI,4,9.927050427050428,18.0,9,3,0.796887796887797
20.935038_85.668127,DHENKANAL,TULASIPASI,4,5.730907282886638,8.0,8,5,0.1432427313192537
20.967839_85.697164,DHENKANAL,KANKANA,4,8.05804017625866,28.0,8,2,0.6825394011381566
20.968462_85.697621,DHENKANAL,KANKANA,4,2.699959726137737,2.5,8,3,0.0
20.96877_85.697427,DHENKANAL,KANKANA,0,9.760009268004517,2.5,14,2,0.792562956988677
20.969023_85.695805,DHENKANAL,KANKANA,0,5.929800611846925,53.0,8,2,0.0
20.970158_85.69672,DHENKANAL,KANKANA,0,7.018225126199166,23.0,8,4,0.0
20.970671_85.695629,DHENKANAL,KANKANA,4,4.093387002886751,28.0,6,4,0.0
20.971334_85.696502,DHENKANAL,KANKANA,4,4.335539262362724,28.0,6,3,0.0
20.972437_85.695593,DHENKANAL,KANKANA,4,7.582366589327148,18.0,4,3,0.0
21.018825_85.612578,DHENKANAL,BALIKUMA,3,15.20670179388992,73.0,25,11,0.2095109319894199
21.018991_85.615656,DHENKANAL,BALIKUMA,3,17.215504436487706,48.0,40,13,0.1607829157939128
21.019655_85.619941,DHENKANAL,BALIKUMA,3,15.29434327063709,83.0,28,9,0.4644180038738509
21.019794_85.61085,DHENKANAL,BALIKUMA,1,14.378499350558322,73.0,11,7,0.5330773181694178
21.019849_85.61665,DHENKANAL,BALIKUMA,3,16.414673371920223,78.0,41,14,0.1895227312823837
21.021416_85.610006,DHENKANAL,BALIKUMA,1,13.280222455055304,58.0,8,5,0.0
21.02179_85.618937,DHENKANAL,BALIKUMA,1,13.593771435989966,63.0,7,3,0.8813711790419819
21.021861_85.613366,DHENKANAL,BALIKUMA,1,16.491767795073297,43.0,13,5,0.4574958440380838
21.022286_85.61525,DHENKANAL,BALIKUMA,1,15.42478356110267,48.0,9,8,0.0272195230705316
21.023003_85.611504,DHENKANAL,BALIKUMA,1,14.373930771645073,48.0,8,6,0.1196072277272116
21.023941_85.616045,DHENKANAL,BALIKUMA,1,15.43706660981443,53.0,10,7,0.1868337628149274
21.040585_85.690666,DHENKANAL,NUA SAHI,1,19.89096746109479,28.0,5,4,0.3805637174883012
21.041399_85.688028,DHENKANAL,NUA SAHI,1,15.862085668811844,38.0,6,5,0.0012581702430155
21.043315_85.689977,DHENKANAL,NUA SAHI,1,28.15037894318758,38.0,5,4,0.3973606495608003
21.043929_85.684979,DHENKANAL,HADI SAHI,1,36.50574396652394,28.0,4,2,0.6304130984818997
21.044343_85.521868,DHENKANAL,ADHAPALLI,4,5.878453167682247,13.0,11,7,0.2476273939616016
21.044772_85.519605,DHENKANAL,ADHAPALLI,0,6.351678543423419,8.0,17,9,0.1217549578350735
21.045566_85.52362,DHENKANAL,ADHAPALLI,4,6.907993653417443,8.0,12,7,0.1010937642180531
21.046197_85.525567,DHENKANAL,ADHAPALLI,0,6.370278505348436,2.5,14,11,0.1540205284267519
21.046237_85.520861,DHENKANAL,ADHAPALLI,4,9.38093060016091,8.0,6,5,0.1637610410321159
21.046252_85.683699,DHENKANAL,NUA SAHI,1,26.597204171116207,53.0,8,4,0.2486223671829512
21.047075_85.526962,DHENKANAL,ADHAPALLI,4,7.79939911347057,2.5,5,4,0.0
21.047435_85.691744,DHENKANAL,NUA SAHI,1,18.974618693032824,38.0,6,3,0.4685710762539198
21.047558_85.52488,DHENKANAL,ADHAPALLI,4,7.476053034161575,8.0,7,5,0.0
21.047646_85.527402,DHENKANAL,ADHAPALLI,4,6.719976114086072,2.5,7,6,0.0
21.047655_85.526258,DHENKANAL,ADHAPALLI,4,8.182087863447416,8.0,8,5,0.0
21.048412_85.523557,DHENKANAL,ADHAPALLI,4,6.837801610454561,2.5,7,7,0.0026422896983666
21.048834_85.524919,DHENKANAL,ADHAPALLI,4,8.312693681278077,2.5,7,5,0.2506852270832697
21.049949_85.690852,DHENKANAL,NUA SAHI,1,18.076680005649457,63.0,10,6,0.1684760604491313
21.050477_85.686889,DHENKANAL,NUA SAHI,1,17.990523570005614,58.0,7,3,0.3199753458731854
21.052047_85.690007,DHENKANAL,NUA SAHI,1,18.60928541882768,83.0,5,3,0.6660629625622849
21.074972_85.389524,DHENKANAL,MAHABIR ROAD,0,11.029249143101971,23.0,21,3,0.903598971722365
21.075714_85.392354,DHENKANAL,KANKADAHAD,1,15.5566237464657,58.0,13,4,0.6525497853989951
21.076582_85.388847,DHENKANAL,BURUGI BHUIN,3,15.411150644604604,13.0,25,1,0.9682773322505328
21.077312_85.39015,DHENKANAL,BURUGI BHUIN,3,13.567694507276684,8.0,32,3,0.9178438820366182
21.077442_85.388795,DHENKANAL,BURUGI BHUIN,3,22.77771015322927,48.0,29,4,0.467840265133692
21.077809_85.392112,DHENKANAL,BURUGI BHUIN,1,29.722572451099364,73.0,18,8,0.1031078384993521
21.078879_85.387094,DHENKANAL,BURUGI BHUIN,3,20.21003336780071,78.0,25,4,0.9003216249992071
21.078934_85.390421,DHENKANAL,BURUGI BHUIN,1,45.51645383104125,78.0,9,5,0.0790275049115913
21.079134_85.389512,DHENKANAL,BURUGI BHUIN,1,23.860268829727467,78.0,10,5,0.2018689283805817
21.106127_85.565469,DHENKANAL,BALI SAHI,4,13.213614305911122,23.0,7,2,0.9063467196515226
21.106491_85.565027,DHENKANAL,BALI SAHI,0,14.197396698417004,23.0,9,2,0.9194942544320532
21.107106_85.56567,DHENKANAL,BALI SAHI,1,21.40606226972159,33.0,9,2,0.8606983383354072
21.10777_85.564995,DHENKANAL,BALI SAHI,1,22.34550114644602,33.0,15,2,0.9744990529358988
21.108009_85.565539,DHENKANAL,BALI SAHI,1,30.635896252538306,33.0,9,3,0.6398606239616023
21.108207_85.564337,DHENKANAL,BALI SAHI,1,17.410669184468315,33.0,13,3,0.8257287855541131
21.108502_85.564922,DHENKANAL,BALI SAHI,1,18.128130870381963,28.0,7,1,0.9959820496764766
21.109137_85.564208,DHENKANAL,BALI SAHI,1,17.083709057154223,28.0,6,2,0.9037704990496396
21.109653_85.563835,DHENKANAL,BALI SAHI,0,12.563548839581742,23.0,8,3,0.7887018617699568
21.110522_85.56385,DHENKANAL,BALI SAHI,0,14.249313122996856,23.0,8,3,0.8859125525596165
21.154502_85.365229,DHENKANAL,RAIJHARANA,0,12.067473539536556,83.0,18,5,0.0489647022555618
21.155752_85.365857,DHENKANAL,RAIJHARANA,0,8.44576833063423,68.0,20,8,0.1433046162281258
21.156085_85.364999,DHENKANAL,RAIJHARANA,0,16.19180733221304,8.0,22,6,0.8553791282279914
21.156_85.367028,DHENKANAL,RAIJHARANA,0,9.77411570282954,88.0,16,4,0.7420256999692788
21.157913_85.365213,DHENKANAL,RAIJHARANA,0,9.246429792429794,68.0,16,5,0.0287179487179487
21.158187_85.36696,DHENKANAL,RAIJHARANA,0,10.0648118202772,78.0,14,4,0.9335678010057332
21.158748_85.364022,DHENKANAL,RAIJHARANA,0,14.024296478648514,58.0,14,5,0.5791766797569506
21.15983_85.365755,DHENKANAL,RAIJHARANA,1,12.655900229426674,88.0,8,3,0.6486048215637049
21.160104_85.363229,DHENKANAL,RAIJHARANA,1,15.977987902450012,68.0,15,6,0.052913876518646
