plot_key,district,habitation,site_polygon,crown_cover_pct,meta_chm,habitat,hab_frac,indiasat_has_data,worldcover,lulc_2017,lulc_2018,lulc_2019,lulc_2020,lulc_2021
20.76148_84.72302,ANGUL,GHANAJODI,,43.0,0,1,1.0,1,10,6,6,6,6,6
20.761498_84.715991,ANGUL,GHANAJODI,,38.0,0,1,1.0,1,10,6,6,6,6,6
20.76178_84.706629,ANGUL,GHANAJODI,,38.0,0,1,1.0,1,10,6,6,6,6,6
20.763036_84.72282,ANGUL,GHANAJODI,,68.0,0,1,1.0,1,10,6,6,6,6,6
20.76408_84.715482,ANGUL,GHANAJODI,,98.0,0,0,0.31541340592038114,1,10,11,11,10,10,10
20.764457_84.718917,ANGUL,GHANAJODI,,43.0,0,1,1.0,1,10,6,6,6,6,6
20.767532_84.743722,ANGUL,KANTAPADA,,48.0,2,1,1.0,1,10,6,6,6,6,6
20.802758_84.651615,ANGUL,JOGI BANDHA,,58.0,3,1,1.0,1,10,6,6,6,6,6
20.803186_84.650445,ANGUL,JOGI BANDHA,,78.0,1,1,1.0,1,10,6,6,6,6,6
20.803305_84.650996,ANGUL,JOGI BANDHA,,68.0,2,1,1.0,1,10,6,6,6,6,6
20.803378_84.649662,ANGUL,JOGI BANDHA,,93.0,0,1,1.0,1,10,6,6,12,12,6
20.80382_84.649267,ANGUL,JOGI BANDHA,,63.0,2,1,1.0,1,10,6,6,6,6,6
20.804067_84.651992,ANGUL,JOGI BANDHA,,28.0,2,1,1.0,1,10,6,6,6,6,6
20.805056_84.651723,ANGUL,JOGI BANDHA,,58.0,1,1,1.0,1,10,6,6,6,6,6
20.805103_84.650732,ANGUL,JOGI BANDHA,,88.0,0,1,1.0,1,10,12,6,6,6,6
20.805368_84.649812,ANGUL,JOGI BANDHA,,8.0,1,1,0.7932675960557634,1,10,12,12,12,12,12
20.806103_84.651004,ANGUL,JOGI BANDHA,,43.0,0,1,1.0,1,10,6,6,6,6,6
20.825695_84.645693,ANGUL,ANANDA PUR,,68.0,1,1,0.6166383701188456,1,10,6,6,6,6,6
20.825723_84.645635,ANGUL,ANANDA PUR,,33.0,0,1,0.8366168478260869,1,10,6,6,6,6,6
20.825966_84.644815,ANGUL,ANANDA PUR,,63.0,1,1,1.0,1,10,6,6,6,6,6
20.826051_84.646594,ANGUL,ANANDA PUR,,88.0,3,1,0.967698061883713,1,10,6,6,6,6,6
20.827024_84.643543,ANGUL,ANANDA PUR,,78.0,3,1,0.763327674023769,1,10,6,6,6,6,6
20.827087_84.646448,ANGUL,ANANDA PUR,,98.0,2,1,1.0,1,10,6,6,6,6,6
20.827346_84.642134,ANGUL,ANANDA PUR,,48.0,1,1,1.0,1,10,6,6,6,6,6
20.828018_84.64283,ANGUL,ANANDA PUR,,58.0,2,1,1.0,1,10,6,6,6,6,6
20.828198_84.64423,ANGUL,ANANDA PUR,,88.0,0,0,0.5312712440516654,1,30,11,11,11,11,10
20.926499_85.652478,DHENKANAL,TULASIPASI,,23.0,5,1,1.0,1,10,6,6,6,6,6
20.926894_85.66691,DHENKANAL,TULASIPASI,,8.0,0,0,0.82706002034588,1,10,11,10,10,10,11
20.927937_85.652632,DHENKANAL,TULASIPASI,,23.0,0,1,0.7995930824008137,1,10,6,6,6,6,6
20.931564_85.663294,DHENKANAL,TULASIPASI,,23.0,7,1,1.0,1,10,6,6,6,6,6
20.931593_85.663369,DHENKANAL,TULASIPASI,,33.0,6,1,1.0,1,10,6,6,6,6,6
